variable_name,data_format,null_object_type,no_of_rows,missing_percent,Description
max_bal_bc,float64,non-null,0,100.0,Maximum current balance owed on all revolving accounts
all_util,float64,non-null,0,100.0,Balance to credit limit on all trades
total_rev_hi_lim,float64,non-null,0,100.0,Total revolving high credit/credit limit
inq_fi,float64,non-null,0,100.0,Number of personal finance inquiries
total_cu_tl,float64,non-null,0,100.0,Number of finance trades
inq_last_12m,float64,non-null,0,100.0,Number of credit inquiries in past 12 months
acc_open_past_24mths,float64,non-null,0,100.0,Number of trades opened in past 24 months.
avg_cur_bal,float64,non-null,0,100.0,Average current balance of all accounts
bc_open_to_buy,float64,non-null,0,100.0,Total open to buy on revolving bankcards.
bc_util,float64,non-null,0,100.0,Ratio of total current balance to high credit/credit limit for all bankcard accounts.
chargeoff_within_12_mths,float64,non-null,39661,0.0,Number of charge-offs within 12 months
delinq_amnt,int64,non-null,39717,0.0,The past-due amount owed for the accounts on which the borrower is now delinquent.
mo_sin_old_il_acct,float64,non-null,0,100.0,Months since oldest bank installment account opened
mo_sin_old_rev_tl_op,float64,non-null,0,100.0,Months since oldest revolving account opened
mo_sin_rcnt_rev_tl_op,float64,non-null,0,100.0,Months since most recent revolving account opened
mo_sin_rcnt_tl,float64,non-null,0,100.0,Months since most recent account opened
mort_acc,float64,non-null,0,100.0,Number of mortgage accounts.
mths_since_recent_bc,float64,non-null,0,100.0,Months since most recent bankcard account opened.
mths_since_recent_bc_dlq,float64,non-null,0,100.0,Months since most recent bankcard delinquency
mths_since_recent_inq,float64,non-null,0,100.0,Months since most recent inquiry.
mths_since_recent_revol_delinq,float64,non-null,0,100.0,Months since most recent revolving delinquency.
num_accts_ever_120_pd,float64,non-null,0,100.0,Number of accounts ever 120 or more days past due
num_actv_bc_tl,float64,non-null,0,100.0,Number of currently active bankcard accounts
num_actv_rev_tl,float64,non-null,0,100.0,Number of currently active revolving trades
num_bc_sats,float64,non-null,0,100.0,Number of satisfactory bankcard accounts
num_bc_tl,float64,non-null,0,100.0,Number of bankcard accounts
num_il_tl,float64,non-null,0,100.0,Number of installment accounts
num_op_rev_tl,float64,non-null,0,100.0,Number of open revolving accounts
num_rev_accts,float64,non-null,0,100.0,Number of revolving accounts
num_rev_tl_bal_gt_0,float64,non-null,0,100.0,Number of revolving trades with balance >0
num_sats,float64,non-null,0,100.0,Number of satisfactory accounts
num_tl_120dpd_2m,float64,non-null,0,100.0,Number of accounts currently 120 days past due (updated in past 2 months)
num_tl_30dpd,float64,non-null,0,100.0,Number of accounts currently 30 days past due (updated in past 2 months)
num_tl_90g_dpd_24m,float64,non-null,0,100.0,Number of accounts 90 or more days past due in last 24 months
num_tl_op_past_12m,float64,non-null,0,100.0,Number of accounts opened in past 12 months
pct_tl_nvr_dlq,float64,non-null,0,100.0,Percent of trades never delinquent
percent_bc_gt_75,float64,non-null,0,100.0,Percentage of all bankcard accounts > 75% of limit.
pub_rec_bankruptcies,float64,non-null,39020,2.0000000000000018,Number of public record bankruptcies
tax_liens,float64,non-null,39678,0.0,Number of tax liens
tot_hi_cred_lim,float64,non-null,0,100.0,Total high credit/credit limit
total_bal_ex_mort,float64,non-null,0,100.0,Total credit balance excluding mortgage
total_bc_limit,float64,non-null,0,100.0,Total bankcard high credit/credit limit
total_il_high_credit_limit,float64,non-null,0,100.0,Total installment high credit/credit limit
